id,feat0,feat1,feat2,feat3,feat4,treatment,target
55,-0.30561754,-0.55071104,0.6046937,-1.9212797,0.41536805,0,321
56,-1.8488106,0.88791704,0.78616273,0.16454373,0.31905097,0,503
57,-1.5065707,-0.47500956,0.80543506,-0.76773417,-1.3074567,1,207
58,0.97995126,-1.11785,1.8564994,-0.38311464,2.0715563,0,896
59,1.6002895,-0.24187696,0.36753544,1.7683214,0.008950369,0,802
60,-0.39654285,0.37141812,-0.89294577,0.38448977,0.37152627,1,543
61,1.90416,-0.25948063,0.05590564,-0.10223606,-1.1430519,0,423
62,-0.36699563,-0.047205992,-0.027631912,0.6827541,0.32350165,1,554
63,-1.1876061,1.365919,-2.9513688,0.2836989,-0.9605348,1,388
64,-1.9876091,0.39661083,0.5850832,1.6327285,-0.55657506,0,652
65,-0.61059177,0.7065305,-1.3202661,0.9384514,-0.9336993,0,270
66,-0.85626394,0.4550229,0.6290902,-0.8658547,0.93357724,0,402
67,-0.4099133,0.30987483,-0.011668301,0.14501522,0.6102065,0,430
68,-0.8636936,-0.09788973,0.86190367,-0.18873517,-0.28338253,0,364
69,0.6529349,-0.9147773,0.878376,1.7166462,-0.29260832,1,909
70,0.36091694,0.18358094,0.70534074,-0.29093587,1.2745888,1,903
71,0.42008096,-0.5516786,1.6495833,0.24431217,-0.26889798,1,712
72,-2.4462893,-0.7308624,-0.1698101,1.5723438,-0.019358173,1,446
73,-0.916636,-0.76789993,0.348691,-0.66312534,-0.92724746,0,365
74,0.5931831,0.02975313,-1.070473,2.3491275,-1.1614095,1,710
75,-0.7117532,0.5464327,-0.3505207,0.6339818,-0.14693025,1,489
76,0.3824027,-2.106398,1.359879,0.95706415,1.0100987,1,802
77,-0.8082015,-0.15107077,0.96143514,-0.15178442,0.37523487,0,404
78,-0.8154596,0.43903536,-1.3614771,2.6947825,-0.5024129,0,774
79,-0.6147326,-0.42521563,-0.11770986,0.41694942,1.04453,0,616
80,-0.8795999,-1.1214929,-0.07171891,0.5790052,1.5743706,0,843
81,0.14745016,-0.52002573,0.07643953,0.47247118,-0.2206584,1,430
82,0.6787356,0.03699625,-0.29608008,-1.4443579,0.047029052,1,577
83,0.37851468,-1.1028376,0.87765753,0.2295694,-1.2506324,1,438
84,0.58976895,0.19880867,0.099920414,-0.6590136,-0.87465936,0,385
85,1.0684439,0.51899195,-0.13987908,0.6422658,-0.03885561,1,983
86,-1.378931,0.030380085,1.140859,1.1785595,-0.047135375,0,637
87,-0.40968534,0.41736737,-0.3059452,0.36534384,-0.7209958,1,405
88,-1.4235177,-0.35905877,0.78065675,0.3824875,-1.9117792,0,426
89,0.15338251,1.7650522,-1.8356341,1.2470287,0.24736464,1,839
90,-1.0285032,-0.37475285,0.21567954,0.25291464,-1.0895615,1,285
91,0.63898903,0.055042583,0.34469515,0.3851021,0.23149504,1,820
92,-1.2653197,-0.48046684,0.0007490183,1.10629,0.44023433,1,598
93,0.29776615,1.2223568,-1.4335086,-0.68912745,0.47377414,0,131
94,-1.1788398,0.014915758,-0.4100092,0.33204022,1.8343331,1,731
95,1.1283563,-2.7102783,-0.8262596,-0.89312124,-0.18074155,1,496
96,-0.68277854,-1.6047702,0.004034604,1.2170695,-1.1154524,1,306
97,-1.7709569,0.1769709,0.7930783,-0.4242207,-1.1629485,1,250
98,-0.93762064,-0.5091489,-0.28310338,1.2614125,-0.58640105,1,436
99,0.37561005,0.422781,-0.87496173,-0.31249085,-0.23419364,1,480
100,1.0266749,0.19482802,-0.5951534,0.56895256,-0.50839823,0,317
101,-1.1109858,0.009646954,-0.96283436,0.05484131,0.2784037,1,377
102,0.43446872,0.66142964,1.3583224,-0.9925107,-0.8056136,0,636
103,0.69102687,-0.005116795,0.07463626,-0.19354306,-0.11198238,1,614
104,1.5359677,-0.84479046,0.23483682,1.1386875,0.46168005,0,664
105,-0.21823937,0.057616975,-0.48700646,0.18734206,0.092784494,0,334
106,1.1075109,-0.80706894,-0.35421434,1.0963817,0.049680408,0,465
107,-0.2780217,-1.4915621,-0.52636576,0.28990158,-0.41455036,0,305
108,0.56043,-0.2726335,-0.24729127,-0.64241606,0.33712643,1,443
109,-2.0084338,-1.6572472,0.6917018,-0.7075144,-1.0875752,1,123
110,0.5174386,0.48303345,1.352782,-1.6284891,0.322715,1,993
111,1.5520123,-0.6043797,-1.6556126,-0.1622582,-0.40371788,0,140
112,0.85462236,0.09199602,0.20431186,0.4123124,0.46276814,0,595
113,-1.1250169,-1.1539837,0.8893762,-1.1979151,-0.6200461,1,228
114,-1.1763908,-0.41899043,0.899863,-2.3383956,1.2432536,1,272
115,-0.3196346,-1.3831869,0.35985443,-0.31698832,0.16198264,1,322
116,-0.15781365,-1.7330638,1.0345646,0.6154451,-0.18555087,1,419
117,0.87347466,-0.015902426,0.11170944,1.6348165,-0.8421185,1,831
118,-0.008092218,2.2886715,-0.91238767,0.72245926,-1.4999406,0,406
119,-0.7045086,1.3205742,-0.8034334,-0.5588399,-0.23932213,0,260
120,-1.1314218,-1.0624217,0.52325016,-1.5703373,0.67374134,0,422
121,0.8546676,-1.3217709,-0.26697707,0.40284225,-1.1380541,1,431
122,0.6022531,0.3811722,-0.094471164,-1.8734832,0.08826636,1,649
123,0.21437147,-1.077117,-1.2234443,-1.2479467,-0.52462304,1,401
124,-0.6554945,1.8618106,-0.13557827,-0.871166,-1.0334572,0,425
125,-0.92235214,-1.5710022,0.10458174,1.8626636,0.6098859,0,902
126,-1.0141574,0.8568609,-0.6071851,-0.82938445,-1.3837408,1,362
127,0.83704406,-1.8934399,0.29369673,0.35706076,-0.8204837,1,458
128,0.31176704,-0.08424701,-1.9136518,-0.8573573,-1.0793681,0,229
129,-0.83310133,1.307779,1.2646955,0.9841702,1.1980498,1,1234
130,-0.1969753,0.24216682,-1.0877634,-2.4671364,-1.1141577,1,388
131,-1.4863244,0.60133266,-1.5643455,0.6865609,-1.4345357,0,404
132,0.81502855,0.05919292,0.34508684,0.8063366,0.244593,0,641
133,0.84364337,0.55918735,-0.15492065,0.42439085,-0.5431902,0,388
134,0.51002437,-0.51131475,-1.0300777,-1.3037056,-1.5664943,0,288
135,1.5449528,-1.2082157,1.4165201,0.8494607,0.1615588,0,699
136,-0.073607095,-0.26386884,-0.89141226,0.91190624,-0.2272721,0,448
137,0.75834435,-0.05757735,1.5835146,1.6992196,-1.836831,0,666
138,-1.2194946,-0.022339948,-0.2902135,-0.55737036,-0.8358299,0,384
139,0.7968772,-0.45801818,0.61304706,-0.42970055,0.39862692,0,403
140,-0.445076,0.7159841,0.9703962,0.24294588,-0.24521673,0,525
141,-0.84170085,-0.8754065,-0.23078157,1.09283,1.2664816,0,861
142,1.1425955,0.24378633,1.7975639,0.50938034,1.4233279,1,1584
143,-0.14508013,-2.3708131,-0.9233765,0.17167813,0.36797914,1,435
144,-0.40837136,0.12297882,2.2295768,0.4831208,0.09558004,0,805
145,0.60014653,1.6861732,-0.8468659,0.3599861,-2.8318453,1,872
146,0.21343933,-1.659065,0.8580654,-1.276735,1.0151396,0,273
147,0.3968889,-0.9511049,-0.39023548,0.56517386,-0.9815361,1,417
148,1.6278929,0.21788543,-1.0673012,-0.6064621,0.7135363,0,291
149,1.4307696,-0.77181035,0.37646678,-0.69457483,-0.10808252,0,329
150,0.7445542,0.26138535,1.1087625,0.35378918,0.064120404,0,686
151,-1.0577679,-0.61103904,-3.4041493,-0.77087504,0.10113498,0,422
152,0.8393379,-0.93344325,-2.0997791,-1.4363596,0.67703944,0,227
153,1.3751674,-2.1274295,0.68669206,-1.650707,-1.0035414,0,157
154,1.523602,0.2557675,0.6657028,0.42857066,-0.69754136,0,567
155,0.6179568,-0.6656944,-0.43993637,-1.1634463,-1.1929944,1,434
156,-1.1487592,1.7325988,-1.7353197,1.4224122,-0.5675716,1,614
157,-0.6271667,-0.045738973,-0.0817949,1.1471857,0.25788528,0,639
158,-0.92239916,0.2382552,1.0935376,0.0076981266,-1.6458794,0,450
159,0.879113,0.94509166,1.1916136,-1.6813631,-0.14554791,0,736
160,-0.7615233,0.45238024,0.23738939,1.3019818,-1.3514591,0,308
161,-0.016628996,1.2345375,0.35697347,0.17547365,-0.0133655425,0,538
162,2.1906404,0.83929354,1.9126465,0.593456,3.5273259,0,1800
163,1.0308944,-0.85858625,1.1906726,0.11030212,-0.70325345,0,463
164,-0.07032581,-0.8094098,-0.32149783,-0.44466496,0.21609631,0,319
165,-0.043186083,-1.8635253,0.7898984,-0.23560609,0.5135201,0,355
166,-1.3486072,-0.4475742,0.5841272,-0.18993454,-0.043068334,1,251
167,-0.2293662,-0.3969503,2.418293,-0.15538903,-0.9812106,1,712
168,-0.26243925,-1.7112744,-0.8531954,0.29849607,1.1686633,1,634
169,-0.24265808,0.7021946,1.0346755,0.5907552,0.15745614,1,886
170,-0.697865,-0.60131025,-0.53365445,-0.38542485,0.564977,0,395
171,-1.1853461,0.8716411,-0.5623438,-1.0048891,-0.21055454,1,335
172,-0.4697606,1.0763826,-0.20687999,-0.47634804,-0.07274522,0,343
173,-0.36095095,1.0500592,-0.20150666,-1.4183922,2.1100943,0,470
174,0.08509736,1.3216377,0.058351822,-0.10854693,-0.28611615,0,479
175,-0.47315836,1.5211203,-0.031578433,-0.013326804,0.21785606,0,500
176,0.693534,-0.45650572,1.0726987,0.95936525,-1.2160951,0,495
177,0.16818962,-0.796843,1.0229192,-0.004791597,-0.4454102,0,351
178,1.5142992,0.7767794,0.43557346,-0.0676972,0.45709205,1,1217
179,-0.32688522,-1.4290135,2.4653938,-0.6537447,0.9990195,0,537
180,0.39199147,3.0369911,0.12916006,1.0457833,-0.7908889,0,758
181,0.15311192,-0.60247725,-1.6015908,-0.9418233,-1.2366556,0,235
182,-0.9928721,0.11055216,-1.1983215,1.080406,-1.3575557,1,302
183,-2.1404338,-0.07125222,0.8069038,0.25525194,0.7964178,0,689
184,0.7928167,0.030233098,-0.5967167,-2.2912045,0.11888963,0,259
185,-0.69545287,0.21071267,0.6653453,0.7997889,0.2662935,0,571
186,1.8073192,-0.5644466,0.12285778,0.3808848,0.821812,1,1075
187,-1.1754956,-1.4078276,-1.1325521,0.25726825,-1.8981639,0,451
188,-0.006871049,0.754508,-0.34954268,-0.8515779,0.71211296,0,284
189,0.25217092,-1.0770224,-1.5984569,-1.059528,1.0971762,1,379
190,0.37052143,0.332395,1.8369749,0.37597775,-0.5363948,1,954
191,-0.825834,-1.0546645,-1.5391817,-0.98738575,-0.8162314,1,255
192,1.9202378,0.8329654,0.5069867,0.48199546,-0.5112921,1,1304
193,-0.9120776,0.018982533,-0.27904084,0.18585227,1.8403561,0,781
194,1.565779,0.1252842,-1.5990088,1.1844832,0.36443993,0,422
195,0.6817186,-0.33670565,-1.5449512,-1.1549779,-0.1678111,0,215
196,-3.1831515,-1.2454697,-0.019532908,1.754039,0.8605901,0,1144
197,0.9675508,1.431348,-0.038690165,-0.59800315,-0.43928435,0,554
198,-0.24780387,0.8837508,-0.19943343,-0.53473896,-0.95309097,1,485
199,0.9345014,0.7538468,1.1090508,-2.4720862,-0.3558561,1,1099
200,-0.8199151,0.12201609,0.38036948,-0.35854545,-0.8737848,0,334
201,-0.0046531935,-1.0972605,0.018042332,0.5162389,-1.1373353,1,378
202,-0.7452777,1.48534,1.1129795,1.1661627,-1.0343336,0,611
203,-0.40022534,-0.1329167,-0.079620905,-0.7740033,0.29386464,0,288
204,0.4825802,-0.809921,0.018628154,-0.9154299,-1.6297535,0,240
205,1.375618,0.34103292,-0.9832308,-0.29419202,0.41591445,1,748
206,0.2144049,0.5350504,-0.14178443,-0.80486274,0.72283477,0,329
207,-0.0014900569,0.15894896,-0.10191784,0.42249948,-1.0935775,0,271
208,0.98652595,1.1733861,-1.0049423,1.0440209,-0.78026205,1,880
209,0.84611386,0.96959305,-1.8453772,-0.5467777,0.46036,1,557
210,-0.4759956,-1.2402983,-1.0393509,-1.3630769,0.07035935,1,306
211,-0.003946039,0.8763317,-0.4709691,0.82638663,0.33094427,0,541
212,-1.1595939,-1.8447453,-0.80407345,0.20060155,-0.07636891,1,214
213,0.59015423,1.5583804,1.2207596,-1.610201,0.31403798,1,1222
214,2.9080994,2.3502183,0.2256956,1.4111605,0.2286989,1,2309
215,-1.2492732,-0.6980518,1.130626,-0.058250535,-0.008731102,0,401
216,-0.028384773,-0.38477626,-0.73638433,0.20061567,0.7067179,0,476
217,0.0808206,0.92055744,-1.4295472,0.004284872,0.09512945,0,207
218,-1.7755109,2.2586255,1.1585392,-0.8256625,0.2573976,0,577
219,0.96418107,1.3795911,-1.9326158,-1.5180372,0.868347,1,686
220,1.0015354,-0.87691665,-1.2746309,0.06567397,-1.2069852,1,459
221,0.97780883,0.20373388,-0.056266177,-0.13931902,-0.44267026,0,364
222,0.13395652,0.3436535,-0.411616,1.1813136,-0.07383074,1,654
223,-0.14274983,-0.96767056,-0.7838271,-0.13961487,-1.0238171,0,292
224,-0.40661788,0.90517193,0.3979223,0.7029151,0.4590146,0,666
225,-1.6749032,1.6000526,-0.14258185,2.222593,0.1196839,1,807
226,0.04620831,1.2372596,1.1239765,-1.7574531,0.9275256,1,967
227,0.59680843,-1.0062863,-1.5250098,1.0993024,0.24341756,0,523
228,-0.034223676,-0.9605111,-0.7425665,0.1348296,-0.7306384,0,308
229,-0.38937932,0.080950305,-1.1196458,0.16582707,1.1320796,1,650
230,1.3075045,0.16779588,-1.5169927,1.6221403,-1.3139998,0,220
231,-0.0028596541,-0.5550007,-0.7464101,1.6874981,1.3514266,0,897
232,-0.30872735,-0.15123478,-1.0928416,0.8073298,0.95533943,0,672
233,-0.88801,-0.70011985,-0.34329712,-0.54879814,-1.1166563,0,382
234,-0.54471654,0.9731281,-0.09850373,0.14566852,0.6105065,1,622
235,-0.993667,-0.6552127,0.747424,0.43640375,-0.24277793,1,296
236,-0.29087588,-0.5098634,0.5966903,0.7384174,2.1530936,1,928
237,-0.67359644,0.7620909,-0.80712223,-1.2928001,-1.1797466,0,296
238,0.22939245,0.34092438,0.4227891,-0.5954227,0.3089099,0,400
239,-0.44715402,-0.72436047,0.64530194,0.83593,0.7832966,0,662
240,0.06145801,-1.0286485,-0.121557586,1.0432421,-0.017531287,0,499
241,-0.9159781,-0.94834167,-0.06405706,-0.50109833,-0.60500914,1,270
242,1.2876397,0.44909722,0.15341213,0.17052568,-2.3918946,1,942
243,-0.84301734,1.1598363,-0.2385942,-0.9303775,0.6228456,0,274
244,1.2791137,0.08143024,-0.49582264,0.9384248,0.8571871,1,1098
245,0.6489679,-0.54845417,-0.048623245,1.8774419,0.9898978,1,1048
246,-2.0075321,1.9043038,-0.41702044,-0.46718246,-1.2149241,0,329
247,1.3388531,0.3151787,-0.43843898,-0.43170863,0.5605811,0,401
248,0.899094,-1.2510175,-2.1660473,0.50142336,0.18877847,0,357
249,1.9423201,0.8910468,-1.0038131,1.4737784,-1.2164123,0,435
250,1.2119567,-0.84795886,0.058174796,-0.1675202,0.8026895,1,714
251,-0.25398704,-0.70306146,0.09983942,-0.9404621,-0.90843093,1,314
252,0.085756965,1.5021008,1.462653,-2.3777788,1.339987,0,758
253,-0.395363,0.22055648,1.1999353,0.13856708,-1.6546704,0,484
254,-0.09388229,-1.2532114,-0.7843543,0.50975204,0.7520079,0,592
255,-1.2505392,-1.1261599,0.5722903,0.80905277,-0.05324474,0,581
256,0.9448758,-0.30453584,0.43227857,-0.7311508,-0.84001154,0,391
257,-1.693787,-1.028203,0.042525563,-0.98743033,1.0908026,1,206
258,0.80463594,-0.020353843,-0.99699086,-1.545463,-1.1130041,1,493
259,-0.80657554,-0.28638226,-0.20054634,0.29877636,-0.80294156,0,342
260,-0.3598593,-0.55279404,-0.15750383,-0.9358017,-1.1526061,1,360
261,-0.58717567,-0.4507661,-1.0900897,0.8463249,1.2090554,0,735
262,-0.971929,0.69509083,0.017707992,-0.121627055,0.21949102,0,373
263,-0.793281,1.4086612,1.4269017,-0.18318273,0.10546382,0,678
264,0.10154482,2.2970734,0.008282941,-1.1390886,-0.62502694,1,1044
265,1.1139795,-0.3426737,-1.0639073,0.9072428,1.0438566,0,575
266,-1.1505184,0.68979806,0.51994145,0.59930843,-1.3755593,0,361
267,0.2863531,0.1255194,-1.896565,-0.08795954,-1.7174089,0,234
268,0.65425646,-0.6519592,-0.1901632,-1.1984406,1.1446556,1,426
269,0.4084407,1.190288,-1.0438625,-0.2998058,0.55857265,1,731
270,-0.34769163,-1.2546625,-0.5933195,0.14506447,0.8143136,0,506
271,-0.78755885,-1.3824956,-0.569184,-0.90157866,1.0998199,0,426
272,0.2381255,0.5266255,0.98256403,-1.6984363,0.12215939,1,826
273,-0.69116706,0.24389116,-1.1817775,-0.101233035,-0.86799794,0,340
274,-1.5828178,-1.2797303,-0.26874745,-1.6891454,1.8468161,0,540
275,1.1051373,1.4926833,-1.2376901,0.6919387,0.2726002,1,1098
276,-0.34402785,-0.5103695,-1.785187,0.18068041,-0.12937373,1,377
277,-1.313882,1.1144149,1.6687161,1.0954392,0.69384533,1,998
278,-0.31263798,1.9599837,-1.8710558,-0.46370396,1.079682,1,644
279,-0.90298855,-0.802831,-0.5634292,0.59533405,-0.18985346,1,389
280,-0.095869035,0.2002139,-0.8669669,0.8602613,0.6125636,1,699
281,2.1881082,1.7148579,0.4741246,-0.035102375,2.186317,1,2067
282,-0.4580715,-0.1613185,-1.0907273,0.19579738,-0.85559404,1,355
283,0.22723433,0.8124254,0.03877178,0.23001587,-0.8746681,1,695
284,0.124431804,-0.03946327,1.5382178,0.27458867,-0.86800456,0,595
285,0.8619359,0.4792552,0.87343305,-0.80769473,0.5118853,0,635
286,0.8607212,-1.6174558,0.8112976,-0.5891785,1.1811858,1,582
287,0.98445296,0.29567996,-0.8802509,-0.225705,-0.560692,1,596
288,-0.52567124,-0.0060665156,1.217419,-0.44863287,-0.78304124,0,465
289,0.35866293,-0.18955652,0.21028867,0.13964674,0.78040385,1,706
290,-1.2077241,2.0211627,0.410126,-0.27591205,0.03686903,0,512
291,0.90626824,0.96318376,-0.30120257,2.514686,0.16186729,1,1434
292,1.581811,-0.9757558,-0.5267504,-1.1149583,-0.49667993,0,150
293,-0.29296798,0.32135302,-1.0781765,0.9747472,0.86136234,1,765
294,-0.34412408,0.88240737,-0.73321134,-0.5337728,-1.821631,0,216
295,0.4217778,0.031832572,1.6730349,-1.5906899,1.920527,0,718
296,0.40450895,0.7567288,1.3780526,-1.2640264,-0.8462806,0,734
297,0.6318997,-0.17314883,0.68280727,1.5689969,-0.8793417,1,821
298,-0.22881204,0.7503717,0.28030133,-1.0867547,-1.1053705,0,402
299,-0.67372483,0.4627051,-1.5685408,0.84830046,0.9411353,0,686
300,-1.4034518,-0.018549062,0.20588155,0.69124603,0.13550699,1,441
301,0.8063141,0.064486064,-0.41721863,-2.321909,-0.3636368,1,585
302,1.3460288,-0.8771284,1.1055485,1.074354,-0.6236717,0,573
303,-0.516542,0.031126115,1.1255736,0.14664243,-0.33383936,1,475
304,-0.5849259,0.7952055,-0.5890258,-0.8221969,0.9457045,0,296
305,-1.5124173,0.92054147,-0.009295053,1.1507751,-1.2326585,1,290
306,-1.5768557,1.903116,-0.8195429,0.44463474,-0.17697169,1,433
307,-0.24392803,0.7303239,-0.58214897,0.9264981,-0.7355805,0,303
308,0.46039972,-0.729486,-0.62950075,0.56247735,-1.8169158,1,429
309,-0.20098409,-1.0175319,0.77802753,-1.3348817,0.6204024,1,381
310,-0.85843533,0.44806737,-0.58665407,0.19533767,0.52199346,1,492
311,1.3657987,-0.13473138,1.5705701,-0.4670672,-0.0849602,0,705
312,-0.48090807,0.43100595,1.1689279,-0.908017,-1.1539928,0,500
313,0.6775353,-2.3850875,-1.0622499,0.025501328,0.69643897,0,421
314,-0.9776333,-1.0758551,1.0266303,-0.824045,-1.4096757,0,436
315,0.34936485,-1.4647381,1.4597162,-1.3657641,1.0392661,0,378
316,1.3605735,0.49934605,1.2507241,-0.94702995,-0.6858212,0,727
317,-0.5341027,0.0035268904,1.4602013,-0.5609202,-0.21860895,0,528
318,-1.5164511,-0.384471,0.714471,-0.11167517,0.34312102,0,473
319,-0.3335779,0.83547884,-0.97250867,0.87853044,0.4977818,1,676
320,0.78150654,-0.6060019,-0.82617325,1.107185,0.30616334,0,515
321,0.7733376,0.87600976,-1.5971881,-1.7913122,1.2696373,1,547
322,0.19276607,-0.5006283,-0.45966688,2.7622223,-1.6822044,0,466
323,-0.24905378,-1.5641679,0.9490584,-0.16496049,-1.2917129,1,330
324,0.80761015,1.15785,1.3730094,2.3764665,-1.0871164,0,1057
325,-2.176448,0.17225735,-0.25451535,-0.45134395,1.5702888,1,425
326,-0.6658718,0.5743517,1.6645339,-0.8637466,-1.108167,1,689
327,0.27057186,3.2566369,0.33806705,1.2379105,-1.3394709,0,734
328,0.89018786,0.3204152,1.0892456,-0.40101495,1.3031363,1,1176
329,0.32665625,1.3202958,-2.696202,0.950878,0.3258103,1,792
330,0.3713896,0.555127,-0.41677433,1.8613275,-0.5069445,1,856
331,0.614556,-2.2466447,-0.71788913,-0.51357234,1.426862,1,615
332,-0.45206553,-0.22664173,0.326539,1.7393912,-1.0439597,1,514
333,-0.44214532,0.19497696,0.24551539,-0.43250787,0.36303407,0,295
334,-0.10173966,0.12842153,0.3767671,2.3668716,1.2842221,0,1068
335,0.36635625,0.7198274,-0.8574267,0.094371706,1.4362426,0,512
336,0.47003525,2.0327792,-1.1449844,-2.0192058,-0.5717452,0,342
337,1.156235,-1.1054242,-1.1695051,-1.1987498,1.4121315,0,229
338,0.56703186,-0.91785485,-0.01416485,2.081822,0.4380217,1,943
339,-0.22810464,2.6004655,0.9682289,-1.0151203,-0.54064906,1,1249
340,-1.6052648,-1.9094586,-0.5667525,0.744077,-0.05011495,1,341
341,-0.41600534,0.87453234,1.5396793,0.8506311,0.41573536,1,1073
342,-0.15054823,-1.6894231,0.9393447,0.019428926,-1.0335929,1,313
343,0.5723658,-0.090441644,0.40301272,1.8934515,0.72317845,1,1127
344,0.020768056,2.5428264,0.4215604,1.2495481,-3.228783,1,1143
345,-0.6838566,-0.78521913,-1.0735453,2.2958467,1.6788166,1,1077
346,1.9125586,-0.37669766,-0.43890834,-0.32543182,1.1500349,0,487
347,-2.5390198,-1.5444739,0.53045666,-1.0757889,-0.14205368,0,550
348,-0.45389467,0.87290597,1.6521134,-0.16785933,-0.991291,0,668
349,1.1092142,-0.7626205,-0.037192173,1.0618764,-0.42240077,1,689
350,1.4249741,0.41726518,0.76300734,1.5459354,1.6512858,0,1274
351,2.4339008,0.20585968,-0.05805228,-0.77852905,-0.926505,0,530
352,0.7802625,1.5798844,-3.8273098,-0.4672453,1.3263093,0,254
353,0.60444534,-1.1807724,1.0129524,0.51296765,-1.2476213,1,487
354,0.67729926,-0.48854598,-0.12404361,0.2914652,1.155676,0,550
355,1.1451175,-2.4325826,-0.8180344,0.34694293,1.9071273,1,917
356,2.6771085,-1.740196,-2.6231272,0.050918102,-0.23162715,1,613
357,0.19473192,-0.754093,-0.9757152,0.24530561,0.18207762,1,472
358,-1.5427388,0.7743709,0.15979356,-0.036290575,1.0809026,1,537
359,0.3411176,0.5968593,1.1973008,-1.25835,-0.051827952,1,894
360,-0.7950893,-0.059148584,0.15251303,0.30885994,-0.6170894,1,285
361,-1.2708485,-1.5122894,0.44474906,-0.27078795,0.9697349,0,579
362,-1.476896,0.79342026,0.78658247,-0.8393357,1.247192,0,448
363,0.051373675,-0.37731588,0.64346886,0.40010154,-0.7784367,0,324
